iter	Passed	Remaining
150	419	2360
151	421	2352
152	422	2341
153	424	2330
154	425	2319
155	426	2307
156	427	2297
157	428	2284
158	429	2274
159	431	2264
160	432	2253
161	433	2244
162	435	2235
163	436	2225
164	437	2213
165	438	2203
166	440	2195
167	441	2187
168	443	2178
169	444	2169
170	446	2163
171	448	2157
172	449	2149
173	451	2141
174	452	2132
175	453	2123
176	454	2112
177	455	2103
178	456	2094
179	457	2085
180	459	2079
181	460	2071
182	462	2063
183	463	2055
184	464	2047
185	465	2039
186	467	2031
187	468	2024
188	469	2015
189	470	2007
190	471	1997
191	472	1988
192	473	1981
193	475	1975
194	476	1968
195	478	1961
196	479	1953
197	480	1946
198	482	1941
199	483	1933
200	484	1927
201	486	1920
202	486	1911
203	488	1905
204	489	1898
205	491	1892
206	491	1884
207	493	1879
208	494	1870
209	495	1864
210	497	1858
211	497	1850
212	499	1845
213	500	1838
214	502	1833
215	503	1826
216	504	1820
217	505	1814
218	507	1808
219	508	1802
220	509	1796
221	510	1788
222	511	1782
223	512	1776
224	514	1771
225	515	1765
226	516	1758
227	517	1753
228	519	1747
229	520	1742
230	521	1736
231	523	1731
232	524	1727
233	525	1720
234	526	1714
235	527	1709
236	528	1702
237	529	1696
238	531	1690
239	532	1685
240	533	1680
241	534	1675
242	536	1670
243	537	1665
244	539	1661
245	540	1656
246	541	1651
247	542	1645
248	543	1640
249	545	1635
250	546	1631
251	547	1626
252	549	1621
253	550	1615
254	551	1611
255	553	1607
256	554	1603
257	556	1599
258	557	1594
259	558	1588
260	559	1584
261	560	1579
262	562	1576
263	563	1571
264	565	1567
265	566	1562
266	567	1557
267	568	1553
268	570	1550
269	572	1547
270	573	1543
271	574	1538
272	576	1534
273	577	1530
274	578	1525
275	580	1521
276	580	1516
277	583	1514
278	585	1513
279	590	1517
280	592	1516
281	595	1517
282	599	1517
283	602	1519
284	605	1519
285	607	1516
286	611	1519
287	614	1520
288	617	1518
289	619	1517
290	622	1516
291	624	1515
292	625	1510
293	627	1506
294	628	1501
295	629	1498
296	631	1494
297	632	1490
298	633	1485
299	634	1481
300	635	1476
301	637	1472
302	638	1468
303	639	1464
304	640	1459
305	641	1454
306	642	1450
307	644	1446
308	645	1443
309	646	1439
310	647	1435
311	649	1432
312	650	1428
313	652	1424
314	653	1421
315	655	1417
316	656	1414
317	657	1410
318	659	1406
319	660	1403
320	661	1399
321	662	1395
322	664	1391
323	665	1388
324	666	1384
325	669	1383
326	670	1379
327	671	1376
328	674	1375
329	676	1373
330	677	1370
331	679	1367
332	680	1362
333	682	1360
334	683	1356
335	684	1353
336	686	1350
337	688	1347
338	689	1344
339	691	1341
340	692	1338
341	694	1336
342	695	1333
343	697	1330
344	699	1327
345	701	1326
346	703	1323
347	705	1321
348	706	1318
349	708	1315
350	709	1312
351	711	1309
352	713	1307
353	714	1304
354	716	1302
355	718	1299
356	719	1296
357	720	1292
358	722	1290
359	724	1287
360	725	1284
361	727	1281
362	728	1278
363	730	1275
364	731	1272
365	733	1270
366	735	1268
367	737	1266
368	738	1263
369	740	1260
370	742	1258
371	744	1256
372	745	1252
373	746	1249
374	747	1246
375	749	1243
376	750	1240
377	752	1237
378	753	1234
379	754	1231
380	755	1227
381	756	1224
382	758	1221
383	759	1218
384	760	1215
385	762	1212
386	763	1209
387	764	1206
388	766	1203
389	767	1200
390	769	1197
391	770	1195
392	771	1192
393	773	1189
394	774	1186
395	776	1184
396	779	1183
397	781	1181
398	782	1178
399	783	1175
400	785	1173
401	787	1171
402	788	1167
403	789	1165
404	791	1162
405	793	1161
406	794	1158
407	795	1154
408	797	1151
409	798	1149
410	799	1145
411	800	1142
412	801	1139
413	802	1136
414	804	1133
415	805	1130
416	806	1127
417	809	1126
418	811	1125
419	814	1124
420	815	1121
421	817	1119
422	819	1117
423	820	1114
424	822	1112
425	824	1110
426	826	1108
427	828	1106
428	830	1105
429	833	1104
430	835	1103
431	840	1105
432	843	1104
433	845	1102
434	848	1102
435	853	1103
436	856	1102
437	860	1104
438	862	1101
439	866	1102
440	868	1100
441	870	1099
442	876	1101
443	878	1100
444	881	1099
445	883	1097
446	886	1096
447	891	1098
448	894	1097
449	896	1096
450	899	1094
451	901	1093
452	904	1091
453	906	1090
454	908	1088
455	910	1086
456	912	1084
457	914	1082
458	916	1079
459	917	1077
460	919	1074
461	922	1073
462	924	1072
463	926	1069
464	927	1067
465	928	1064
466	930	1062
467	932	1059
468	933	1056
469	935	1054
470	938	1053
471	939	1051
472	942	1049
473	944	1047
474	946	1046
475	948	1044
476	951	1043
477	953	1041
478	955	1039
479	956	1036
480	958	1034
481	960	1032
482	962	1030
483	965	1029
484	967	1027
485	968	1024
486	970	1022
487	972	1019
488	973	1016
489	974	1014
490	976	1012
491	977	1009
492	979	1007
493	980	1004
494	981	1001
495	983	999
496	984	996
497	986	994
498	987	991
499	989	989
500	990	986
501	992	984
502	994	982
503	995	979
504	997	977
505	999	976
506	1001	973
507	1003	972
508	1004	969
509	1006	966
510	1007	964
511	1008	961
512	1010	959
513	1012	957
514	1015	956
515	1017	954
516	1019	952
517	1021	950
518	1023	948
519	1024	946
520	1027	944
521	1029	942
522	1030	940
523	1032	938
524	1035	936
525	1036	934
526	1038	931
527	1040	929
528	1041	927
529	1042	924
530	1045	923
531	1046	920
532	1049	919
533	1051	917
534	1054	916
535	1056	914
536	1059	913
537	1061	911
538	1064	910
539	1067	908
540	1069	907
541	1072	906
542	1074	904
543	1076	902
544	1077	899
545	1080	898
546	1082	896
547	1085	895
548	1088	894
549	1097	897
550	1100	896
551	1104	896
552	1110	897
553	1118	900
554	1120	898
555	1126	899
556	1129	898
557	1132	897
558	1137	897
559	1141	896
560	1143	894
561	1145	893
562	1148	891
563	1149	888
564	1151	886
565	1153	884
566	1156	883
567	1157	880
568	1160	878
569	1161	876
570	1164	874
571	1166	872
572	1169	871
573	1171	869
574	1174	867
575	1176	866
576	1178	863
577	1180	861
578	1182	860
579	1185	858
580	1187	856
581	1189	854
582	1191	852
583	1193	850
584	1196	848
585	1198	846
586	1199	843
587	1201	841
588	1203	839
589	1206	838
590	1208	836
591	1210	834
592	1212	832
593	1215	830
594	1217	829
595	1220	827
596	1221	824
597	1223	822
598	1225	820
599	1227	818
600	1230	816
601	1232	814
602	1234	812
603	1235	810
604	1238	808
605	1240	806
606	1241	804
607	1243	801
608	1245	799
609	1246	797
610	1248	794
611	1251	793
612	1253	791
613	1256	789
614	1257	787
615	1259	785
616	1262	783
617	1264	781
618	1266	779
619	1267	776
620	1269	775
621	1272	773
622	1273	770
623	1276	768
624	1278	766
625	1280	765
626	1282	762
627	1283	760
628	1285	758
629	1287	755
630	1288	753
631	1289	751
632	1291	748
633	1293	746
634	1294	744
635	1296	742
636	1298	739
637	1300	737
638	1301	735
639	1303	733
640	1304	730
641	1306	728
642	1308	726
643	1309	724
644	1311	721
645	1313	719
646	1314	717
647	1316	715
648	1318	713
649	1320	711
650	1322	709
651	1324	706
652	1326	704
653	1327	702
654	1328	699
655	1330	697
656	1331	695
657	1333	692
658	1334	690
659	1335	688
660	1336	685
661	1339	683
662	1341	681
663	1344	680
664	1346	678
665	1349	676
666	1351	674
667	1354	672
668	1356	670
669	1358	668
670	1361	667
671	1363	665
672	1368	664
673	1372	663
674	1373	661
675	1376	659
676	1378	657
677	1380	655
678	1382	653
679	1385	651
680	1386	649
681	1387	647
682	1389	644
683	1390	642
684	1391	639
685	1393	637
686	1394	635
687	1395	632
688	1396	630
689	1398	628
690	1399	625
691	1400	623
692	1401	620
693	1402	618
694	1403	616
695	1404	613
696	1405	611
697	1407	608
698	1407	606
699	1409	603
700	1410	601
701	1413	599
702	1415	597
703	1417	596
704	1420	594
705	1422	592
706	1423	590
707	1425	587
708	1426	585
709	1428	583
710	1429	581
711	1431	578
712	1432	576
713	1433	574
714	1435	572
715	1436	569
716	1438	567
717	1439	565
718	1440	563
719	1441	560
720	1443	558
721	1444	556
722	1445	553
723	1448	552
724	1449	549
725	1451	547
726	1453	545
727	1456	544
728	1458	542
729	1459	539
730	1461	537
731	1462	535
732	1463	533
733	1464	530
734	1465	528
735	1467	526
736	1468	523
737	1469	521
738	1470	519
739	1472	517
740	1473	514
741	1474	512
742	1476	510
743	1477	508
744	1479	506
745	1480	503
746	1481	501
747	1482	499
748	1484	497
749	1485	495
750	1486	492
751	1488	490
752	1489	488
753	1490	486
754	1491	484
755	1492	481
756	1494	479
757	1495	477
758	1496	475
759	1498	473
760	1499	470
761	1500	468
762	1501	466
763	1503	464
764	1504	462
765	1505	459
766	1507	457
767	1508	455
768	1509	453
769	1510	451
770	1511	449
771	1512	446
772	1514	444
773	1515	442
774	1517	440
775	1518	438
776	1519	436
777	1521	434
778	1522	431
779	1524	429
780	1525	427
781	1526	425
782	1527	423
783	1529	421
784	1530	419
785	1532	417
786	1533	415
787	1534	412
788	1536	410
789	1537	408
790	1539	406
791	1540	404
792	1542	402
793	1543	400
794	1544	398
795	1546	396
796	1547	394
797	1548	392
798	1550	389
799	1551	387
800	1552	385
801	1554	383
802	1556	381
803	1557	379
804	1558	377
805	1560	375
806	1561	373
807	1563	371
808	1564	369
809	1565	367
810	1566	365
811	1568	363
812	1569	361
813	1571	358
814	1572	356
815	1573	354
816	1574	352
817	1576	350
818	1577	348
819	1578	346
820	1580	344
821	1581	342
822	1583	340
823	1584	338
824	1585	336
825	1587	334
826	1589	332
827	1590	330
828	1592	328
829	1594	326
830	1598	325
831	1600	323
832	1604	321
833	1607	319
834	1611	318
835	1616	317
836	1619	315
837	1622	313
838	1625	311
839	1629	310
840	1632	308
841	1634	306
842	1637	304
843	1639	303
844	1640	300
845	1642	298
846	1643	296
847	1644	294
848	1645	292
849	1647	290
850	1648	288
851	1649	286
852	1651	284
853	1653	282
854	1654	280
855	1655	278
856	1656	276
857	1658	274
858	1659	272
859	1660	270
860	1662	268
861	1663	266
862	1664	264
863	1665	262
864	1667	260
865	1668	258
866	1669	256
867	1671	254
868	1672	252
869	1673	250
870	1674	248
871	1676	246
872	1677	244
873	1678	242
874	1680	240
875	1681	238
876	1683	236
877	1684	234
878	1685	232
879	1687	230
880	1688	228
881	1689	226
882	1690	224
883	1692	222
884	1693	220
885	1694	218
886	1696	216
887	1697	214
888	1698	212
889	1700	210
890	1701	208
891	1702	206
892	1704	204
893	1705	202
894	1706	200
895	1708	198
896	1709	196
897	1710	194
898	1712	192
899	1713	190
900	1715	188
901	1717	186
902	1718	184
903	1720	182
904	1721	180
905	1723	178
906	1725	176
907	1726	174
908	1728	172
909	1730	171
910	1732	169
911	1734	167
912	1736	165
913	1738	163
914	1741	161
915	1742	159
916	1744	157
917	1745	155
918	1747	153
919	1748	152
920	1750	150
921	1751	148
922	1753	146
923	1754	144
924	1756	142
925	1757	140
926	1759	138
927	1760	136
928	1762	134
929	1764	132
930	1766	130
931	1767	128
932	1769	127
933	1770	125
934	1771	123
935	1772	121
936	1774	119
937	1775	117
938	1776	115
939	1778	113
940	1779	111
941	1780	109
942	1782	107
943	1783	105
944	1784	103
945	1786	101
946	1787	100
947	1788	98
948	1789	96
949	1791	94
950	1792	92
951	1793	90
952	1795	88
953	1797	86
954	1798	84
955	1799	82
956	1800	80
957	1802	79
958	1803	77
959	1805	75
960	1806	73
961	1807	71
962	1808	69
963	1810	67
964	1811	65
965	1813	63
966	1814	61
967	1815	60
968	1817	58
969	1818	56
970	1819	54
971	1820	52
972	1822	50
973	1823	48
974	1824	46
975	1826	44
976	1827	43
977	1829	41
978	1830	39
979	1832	37
980	1834	35
981	1838	33
982	1840	31
983	1845	30
984	1847	28
985	1851	26
986	1855	24
987	1858	22
988	1861	20
989	1863	18
990	1869	16
991	1871	15
992	1873	13
993	1875	11
994	1878	9
995	1880	7
996	1881	5
997	1882	3
998	1884	1
999	1885	0
