iter	Logloss
186	0.3839456351
187	0.3835594193
188	0.3834020163
189	0.3831950108
190	0.3830470498
191	0.3828383387
192	0.3825068368
193	0.3822036863
194	0.3818080412
195	0.381367903
196	0.3810167508
197	0.3807819181
198	0.38050725
199	0.3803065739
200	0.3798069397
201	0.3796305362
202	0.3794724538
203	0.3790036245
204	0.3786295677
205	0.3783440868
206	0.378233026
207	0.3778230714
208	0.3777780278
209	0.3775130024
210	0.3772822706
211	0.3771325564
212	0.3768827104
213	0.3768050937
214	0.3765377713
215	0.3763891258
216	0.376089261
217	0.3758164491
218	0.375676204
219	0.3755057063
220	0.375282405
221	0.3752201246
222	0.3750362157
223	0.3748964799
224	0.3746168726
225	0.3744500179
226	0.37439969
227	0.374154611
228	0.3738790501
229	0.3735625218
230	0.3733791509
231	0.3730889021
232	0.372824858
233	0.3727890178
234	0.3726399292
235	0.3722779492
236	0.3722398105
237	0.3722015002
238	0.3719981792
239	0.3718580319
240	0.3717148707
241	0.3713524912
242	0.3712218712
243	0.3709363623
244	0.3706525981
245	0.3704767216
246	0.3702251772
247	0.3701174641
248	0.3698657927
249	0.3696262916
250	0.3694674042
251	0.3692242401
252	0.3688559419
253	0.3688107029
254	0.3685335965
255	0.3684724229
256	0.3682940652
257	0.3680809003
258	0.3679322907
259	0.367914851
260	0.3676000912
261	0.3673603856
262	0.3670313858
263	0.366926264
264	0.366730887
265	0.3666461
266	0.3663171527
267	0.366094858
268	0.3659410683
269	0.3658107834
270	0.3656148095
271	0.3655450248
272	0.3653345921
273	0.3651539161
274	0.3650400289
275	0.3649389861
276	0.3648998434
277	0.3647005685
278	0.3645995938
279	0.3644819495
280	0.3643030779
281	0.3639747177
282	0.3636934082
283	0.3634031199
284	0.3633820525
285	0.3633329756
286	0.3631035247
287	0.3628930335
288	0.362799379
289	0.3627045853
290	0.3625183335
291	0.3622592664
292	0.3620686729
293	0.3619158997
294	0.3617512669
295	0.3615636635
296	0.3613506564
297	0.3611820776
298	0.3611144379
299	0.3610240695
300	0.3609960522
301	0.3608490065
302	0.3606665265
303	0.3605305477
304	0.3604640092
305	0.3604421546
306	0.3601884738
307	0.3600246559
308	0.3597982527
309	0.35965097
310	0.3594024537
311	0.3592705763
312	0.3591525348
313	0.3589426535
314	0.3588221906
315	0.3586270286
316	0.3584171463
317	0.3582745552
318	0.3580874842
319	0.3580260534
320	0.3579175672
321	0.3578037174
322	0.3577472598
323	0.3576384762
324	0.3575946949
325	0.3573982398
326	0.357350147
327	0.3573033932
328	0.3571450182
329	0.3569163653
330	0.356701841
331	0.3566094135
332	0.3566034436
333	0.3564095973
334	0.3563662339
335	0.3562183466
336	0.3561524665
337	0.3558743068
338	0.3557931244
339	0.3557277144
340	0.35559924
341	0.3555010089
342	0.3554348933
343	0.3551894627
344	0.3550121075
345	0.3548126805
346	0.3546614515
347	0.3545278681
348	0.3544602933
349	0.3544214153
350	0.3543360181
351	0.3542765035
352	0.3541047024
353	0.3539124454
354	0.353689612
355	0.3536189253
356	0.3534780099
357	0.3534122818
358	0.3533691062
359	0.353109902
360	0.3529676983
361	0.3527783564
362	0.3527516122
363	0.3526810196
364	0.352647275
365	0.3525359196
366	0.3524520564
367	0.3522584963
368	0.3521418715
369	0.3520063085
370	0.3519419905
371	0.3517612055
372	0.3517533978
373	0.351731534
374	0.3515542
375	0.3515133128
376	0.3514431745
377	0.3513344953
378	0.3512424611
379	0.3511371477
380	0.3511158437
381	0.3510773219
382	0.3508697007
383	0.3507646474
384	0.3507449048
385	0.3506270192
386	0.350513719
387	0.350253642
388	0.3500593581
389	0.3499463377
390	0.3497615351
391	0.3497305925
392	0.349633778
393	0.3494249022
394	0.3493828474
395	0.349325219
396	0.349154956
397	0.3490178128
398	0.3489979164
399	0.3488971326
400	0.3488269669
401	0.3486809096
402	0.3486559517
403	0.3486274275
404	0.3485077117
405	0.3483499592
406	0.3481990676
407	0.3481599693
408	0.3481329616
409	0.3479786353
410	0.3479362077
411	0.347827646
412	0.347804352
413	0.3476549579
414	0.3474694656
415	0.3473933434
416	0.3472187301
417	0.3471802012
418	0.3469682357
419	0.3468217763
420	0.3467628227
421	0.3466912432
422	0.3466701956
423	0.3466561547
424	0.3465317146
425	0.346414879
426	0.3463073868
427	0.3460896632
428	0.3459830541
429	0.3458905439
430	0.3457354807
431	0.3456405028
432	0.3455174768
433	0.3454996704
434	0.3454057545
435	0.3452848424
436	0.3451898467
437	0.3450837782
438	0.3450696389
439	0.344796232
440	0.3446336158
441	0.3446007813
442	0.3445811887
443	0.3444684057
444	0.3443377022
445	0.3441930322
446	0.3440527864
447	0.3439312826
448	0.3437938626
449	0.3436435035
450	0.3434500733
451	0.3433633668
452	0.3433123387
453	0.3432197214
454	0.343188171
455	0.3430385673
456	0.3429580689
457	0.3428636599
458	0.3426456097
459	0.342443884
460	0.342365542
461	0.3421851341
462	0.3420631849
463	0.3420112859
464	0.3418810054
465	0.3417494123
466	0.3415965656
467	0.3415052134
468	0.3413729163
469	0.341250162
470	0.3411485722
471	0.3410194599
472	0.3408661812
473	0.3407798742
474	0.3405974348
475	0.3405006319
476	0.3403701142
477	0.3401870703
478	0.3400398677
479	0.3399579239
480	0.3398612566
481	0.3397989152
482	0.3396878027
483	0.3396610637
484	0.3396107284
485	0.3395394558
486	0.3394677589
487	0.3394405252
488	0.3394219477
489	0.3392944894
490	0.339175659
491	0.3390273253
492	0.3389851086
493	0.3389753734
494	0.3388150965
495	0.3387167405
496	0.3386454091
497	0.3385663784
498	0.3383943426
499	0.3381956283
500	0.3381326377
501	0.3380037145
502	0.3379118414
503	0.3377988015
504	0.3376601582
505	0.3375026174
506	0.3374493476
507	0.3373259306
508	0.337287993
509	0.33724589
510	0.3371672121
511	0.3371450699
512	0.3369653817
513	0.3368803087
514	0.3367973216
515	0.3367906373
516	0.3366728613
517	0.336575704
518	0.3364568842
519	0.3362822858
520	0.3361907576
521	0.3361260604
522	0.3360849411
523	0.3359708211
524	0.3358410572
525	0.335647504
526	0.3355573181
527	0.3354612918
528	0.335339888
529	0.3351428254
530	0.3350205683
531	0.3348922659
532	0.334805818
533	0.3347589579
534	0.3347355565
535	0.334574253
536	0.3344172719
537	0.3343984314
538	0.3341856677
539	0.3341018124
540	0.3340475867
541	0.3339867494
542	0.3339195621
543	0.3338185459
544	0.3337701639
545	0.3336898425
546	0.333621411
547	0.3334540582
548	0.333404188
549	0.3333431807
550	0.3332350692
551	0.3331363
552	0.3330015106
553	0.3329213392
554	0.3328835621
555	0.3328123282
556	0.3326745492
557	0.3325865044
558	0.332463795
559	0.3323370086
560	0.3323198829
561	0.3322453528
562	0.332128143
563	0.3320421775
564	0.3319116626
565	0.3318033465
566	0.3316580671
567	0.3316104445
568	0.3315401098
569	0.3313962344
570	0.3312358238
571	0.3311053405
572	0.3310376415
573	0.3309586985
574	0.3307650059
575	0.3306646592
576	0.330577177
577	0.3305304809
578	0.3303905781
579	0.3303068865
580	0.3301621844
581	0.3300155873
582	0.3298911666
583	0.3297544442
584	0.3296089398
585	0.3295322137
586	0.3293675357
587	0.3293197854
588	0.3291529637
589	0.3291135774
590	0.3290318354
591	0.3289749784
592	0.3288179516
593	0.328657512
594	0.328537002
595	0.3284872606
596	0.328486776
597	0.328400708
598	0.3283861713
599	0.3282088437
600	0.3281169297
601	0.3280224445
602	0.3279384268
603	0.3278863198
604	0.3277382655
605	0.3276858186
606	0.3276135839
607	0.3275416434
608	0.3274359691
609	0.327314557
610	0.327306715
611	0.3272604221
612	0.3271570418
613	0.3270555699
614	0.3270134399
615	0.3269752004
616	0.326824908
617	0.3267535204
618	0.3266297191
619	0.3265415891
620	0.3264263904
621	0.32639403
622	0.3262721249
623	0.3262251377
624	0.326172792
625	0.3260806404
626	0.3259578294
627	0.3259081182
628	0.3258273338
629	0.325710822
630	0.3257086068
631	0.3255976209
632	0.3255180239
633	0.3254191409
634	0.3252931191
635	0.3251592699
636	0.3251089494
637	0.3249385526
638	0.3249268197
639	0.324828186
640	0.3247065781
641	0.3246580978
642	0.324566801
643	0.3245278152
644	0.3244401076
645	0.3243848161
646	0.3242680109
647	0.3242113704
648	0.3240924401
649	0.3238960853
650	0.3237475465
651	0.3236409275
652	0.3235940124
653	0.3235645793
654	0.3235298253
655	0.3233515214
656	0.3231720438
657	0.3230937863
658	0.323045499
659	0.3229314159
660	0.3228162679
661	0.3227400451
662	0.3226092452
663	0.3225113342
664	0.3224618111
665	0.3224450162
666	0.3223402047
667	0.3222518143
668	0.3222407352
669	0.3222257049
670	0.3220948519
671	0.3219837063
672	0.3218272461
673	0.3217052376
674	0.321655166
675	0.3215822967
676	0.3215771852
677	0.3215253504
678	0.3215051427
679	0.3214306736
680	0.3213564215
681	0.3213092745
682	0.3212590756
683	0.3211929254
684	0.3209670153
685	0.3208992053
686	0.320847491
687	0.3208284493
688	0.3207862556
689	0.3207515025
690	0.3205517015
691	0.3204922413
692	0.3204852424
693	0.3203661639
694	0.3202461143
695	0.3202457286
696	0.3201722267
697	0.3201507537
698	0.3201507385
699	0.3200660299
700	0.3199685574
701	0.3198869456
702	0.3198031254
703	0.3196406494
704	0.319506592
705	0.3194334431
706	0.3192942116
707	0.3192265682
708	0.3190755104
709	0.3189571296
710	0.318884502
711	0.3188403483
712	0.3187926619
713	0.3187030608
714	0.3186075188
715	0.3185329808
716	0.3183414505
717	0.3182762624
718	0.3181754197
719	0.3180914378
720	0.3180771732
721	0.3179656345
722	0.3178965142
723	0.3178362801
724	0.3177904487
725	0.3176299116
726	0.3175099728
727	0.3174081881
728	0.3172769971
729	0.3171403325
730	0.317028281
731	0.3168970073
732	0.3166981237
733	0.3165999863
734	0.3165874488
735	0.3164814211
736	0.3162919106
737	0.3162627493
738	0.3160816726
739	0.3160580871
740	0.3160172905
741	0.3159686098
742	0.3159140472
743	0.3158385152
744	0.3157904192
745	0.3157715247
746	0.315641994
747	0.315552381
748	0.3155263316
749	0.315461121
750	0.3152770155
751	0.3151811803
752	0.3150471831
753	0.3150270166
754	0.3148824985
755	0.3148628364
756	0.3147035457
757	0.3146374282
758	0.3146025101
759	0.3145601983
760	0.3144313902
761	0.3143266568
762	0.314310532
763	0.314219585
764	0.314056764
765	0.3140421324
766	0.3139398475
767	0.3139280429
768	0.3138681068
769	0.3137681352
770	0.313716283
771	0.3136728569
772	0.3135266626
773	0.3134468728
774	0.3132662407
775	0.3131768618
776	0.3130441567
777	0.3129357726
778	0.3128312978
779	0.3126969268
780	0.3125810201
781	0.3125349557
782	0.3125246728
783	0.3124770019
784	0.3123346621
785	0.3122889884
786	0.3122004972
787	0.3121118632
788	0.3120681997
789	0.3119615942
790	0.3119198166
791	0.311853927
792	0.3118196138
793	0.3117786369
794	0.311753546
795	0.3116856397
796	0.3116447681
797	0.311592595
798	0.3114411853
799	0.3113939431
800	0.3113544119
801	0.3113054827
802	0.3112163493
803	0.3110911647
804	0.3110268781
805	0.310845416
806	0.3107739539
807	0.3107183632
808	0.3106634992
809	0.3104538926
810	0.3102949803
811	0.3102639381
812	0.3101570754
813	0.3100859862
814	0.309996745
815	0.3099619028
816	0.3098919815
817	0.3098237719
818	0.3096775168
819	0.3095611501
820	0.3095408906
821	0.3095182797
822	0.309459713
823	0.3093786267
824	0.3092361266
825	0.3090670699
826	0.3090046953
827	0.3089553179
828	0.3088488611
829	0.3088440424
830	0.3087507651
831	0.3087183524
832	0.3086839119
833	0.3086212059
834	0.3084482408
835	0.3083910925
836	0.3083195132
837	0.3081919349
838	0.3081072671
839	0.3079291763
840	0.3078869198
841	0.3078256939
842	0.3077656252
843	0.3077147839
844	0.3075313432
845	0.3073248238
846	0.3072051224
847	0.3071726346
848	0.3070376391
849	0.3069393559
850	0.3068693263
851	0.3068088171
852	0.3066674988
853	0.3066007637
854	0.3065862586
855	0.306517847
856	0.3063900089
857	0.3062738137
858	0.3061990749
859	0.3061256692
860	0.306065709
861	0.3059809219
862	0.30587806
863	0.3057605722
864	0.3056607318
865	0.3054408985
866	0.3053782313
867	0.3052967448
868	0.3052618006
869	0.3050950902
870	0.3050590308
871	0.3049753046
872	0.3048798566
873	0.3048029496
874	0.3047230268
875	0.3046794286
876	0.3046111575
877	0.30454122
878	0.3044654555
879	0.3043315622
880	0.3042752379
881	0.3041662173
882	0.3040494678
883	0.303954409
884	0.3038894714
885	0.3037956513
886	0.3037288979
887	0.3036469285
888	0.3035617029
889	0.3034671054
890	0.3033179584
891	0.303189745
892	0.3031011512
893	0.3029288352
894	0.3027705867
895	0.3026013819
896	0.3025335172
897	0.3024234332
898	0.302316824
899	0.3022564076
900	0.3020977847
901	0.3020870031
902	0.3020276462
903	0.3018847155
904	0.3018485038
905	0.3017133151
906	0.3016519817
907	0.3015052483
908	0.3014343504
909	0.3013684671
910	0.3012624291
911	0.301171609
912	0.3010760923
913	0.3010013061
914	0.3009822334
915	0.3009444902
916	0.3007670062
917	0.3007261764
918	0.300693749
919	0.3004753585
920	0.3003970477
921	0.3002752455
922	0.3002249695
923	0.3001549278
924	0.3001193327
925	0.2999520204
926	0.2997871914
927	0.2997260771
928	0.2996274134
929	0.2995792717
930	0.2995214626
931	0.2994193085
932	0.2992328046
933	0.299181913
934	0.2991391953
935	0.2990655267
936	0.2990260083
937	0.2989151804
938	0.2987753632
939	0.2986980185
940	0.2986128768
941	0.2984403716
942	0.2983859611
943	0.2982672801
944	0.2981567427
945	0.2980151038
946	0.297979751
947	0.2978500893
948	0.2977207206
949	0.2975891267
950	0.297426039
951	0.2973777404
952	0.2972008676
953	0.2970743869
954	0.2968865477
955	0.2968425136
956	0.2967091719
957	0.296615498
958	0.2965340805
959	0.2963255168
960	0.2962723749
961	0.2962271303
962	0.2962121565
963	0.2961394456
964	0.2960902051
965	0.2959246298
966	0.2958806384
967	0.2957529569
968	0.29555195
969	0.2954487838
970	0.2953974067
971	0.2953318544
972	0.2952889389
973	0.295150733
974	0.2950688108
975	0.2948780442
976	0.2948029171
977	0.2947060097
978	0.29459223
979	0.2944721139
980	0.2942978779
981	0.2942452723
982	0.2941801199
983	0.2940700433
984	0.293898703
985	0.2938386506
986	0.2936730832
987	0.2936411137
988	0.2935897614
989	0.2935405407
990	0.2934570351
991	0.2934022887
992	0.293189887
993	0.2930273542
994	0.2928606692
995	0.2927569501
996	0.2926845789
997	0.2926209346
998	0.2924390401
999	0.2922988119
